Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1709818049,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1709818051,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1709818052,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1709818053,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1709818054,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1709818055,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1709818056,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1709818057,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1709818058,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1709818059,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1709818060,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1709818061,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1709818062,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1709818063,12,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1709818064,13,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1709818065,14,,Aggregated,1.200000,1.200000,510,510,530,530,790,790,810,810,810,810,810,64,64,510.0,562.2348186079762,504.7672080108896,810.0203509966377,0.0
1709818066,15,,Aggregated,1.200000,1.200000,510,510,530,530,790,790,810,810,810,810,810,64,64,510.0,562.2348186079762,504.7672080108896,810.0203509966377,0.0
1709818067,16,,Aggregated,1.200000,1.200000,510,510,530,530,790,790,810,810,810,810,810,64,64,510.0,562.2348186079762,504.7672080108896,810.0203509966377,0.0
1709818068,17,,Aggregated,8.700000,8.700000,510,510,510,510,530,780,790,810,810,810,810,151,151,510.0,530.8268517616208,504.3320269905962,810.0203509966377,0.0
1709818069,18,,Aggregated,8.700000,8.700000,510,510,510,510,530,780,790,810,810,810,810,151,151,510.0,530.8268517616208,504.3320269905962,810.0203509966377,0.0
1709818070,19,,Aggregated,8.700000,8.700000,510,510,510,510,530,780,790,810,810,810,810,151,151,510.0,530.8268517616208,504.3320269905962,810.0203509966377,0.0
1709818071,20,,Aggregated,14.600000,14.600000,510,510,510,510,520,540,790,790,810,810,810,256,256,510.0,520.6102145389195,504.22107698977925,810.0203509966377,0.0
1709818072,21,,Aggregated,14.600000,14.600000,510,510,510,510,520,540,790,790,810,810,810,256,256,510.0,520.6102145389195,504.22107698977925,810.0203509966377,0.0
1709818073,22,,Aggregated,14.600000,14.600000,510,510,510,510,520,540,790,790,810,810,810,256,256,510.0,520.6102145389195,504.22107698977925,810.0203509966377,0.0
1709818074,23,,Aggregated,25.600000,25.600000,510,510,510,510,520,530,780,790,810,810,810,385,385,510.0,516.9720606387036,504.22107698977925,810.0203509966377,0.0
1709818075,24,,Aggregated,25.600000,25.600000,510,510,510,510,520,530,780,790,810,810,810,385,385,510.0,516.9720606387036,504.22107698977925,810.0203509966377,0.0
1709818076,25,,Aggregated,25.600000,25.600000,510,510,510,510,520,530,780,790,810,810,810,385,385,510.0,516.9720606387036,504.22107698977925,810.0203509966377,0.0
1709818077,26,,Aggregated,34.800000,34.800000,510,510,510,510,510,530,780,790,810,810,810,532,532,510.0,514.378256926552,504.22107698977925,810.0203509966377,0.0
1709818078,27,,Aggregated,34.800000,34.800000,510,510,510,510,510,530,780,790,810,810,810,532,532,510.0,514.378256926552,504.22107698977925,810.0203509966377,0.0
